CÓDIGO PRESA	CODIGO PRESA EXTRAIDO	CODIGO ACTIVIDAD	CODIGO ACTIVIDAD EXTRAIDO	NOMBRE ACTIVIDAD	MANTENIMIENTO	PERIOCIDAD	PERSONAL	TIPO_EQUIPO	OkEliminar
CHG.E58 - TTM5825 - TAB01 - RGR	CHG.E58	CHG.E58 - TTM5825 - TAB01 - RGR	 TTM5825 - TAB01 - RGR	REJA DE GRUESOS TOMA INFERIOR	0	0	0	REJA	0
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	OBRA CIVIL GALERÍAS	VISUAL	02_SEMANAL	PP	GALERÍA	OK
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	OBRA CIVIL GALERÍAS	LIMPIEZA	04_MENSUAL	PP	GALERÍA	OK
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	OBRA CIVIL GALERÍAS	LIMPIEZA LODOS	06_SEMESTRAL	PP	GALERÍA	OK
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	OBRA CIVIL GALERÍAS	LIMPIEZA AGUA PRESIÓN	07_ANUAL	PP	GALERÍA	OK
CHG.E58 - ILU	CHG.E58	CHG.E58 - ILU	 ILU	ILUMINACIÓN GALERÍAS	VISUAL	02_SEMANAL	PP	ILU	OK
CHG.E58 - TDR	CHG.E58	CHG.E58 - TDR	 TDR	DRENAJES	COMPROBAR COLMATACIÓN	06_SEMESTRAL	PP	DREN	OK
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	CASETA GRUPO PRESIÓN	VISUAL	02_SEMANAL	PP	CASETA	OK
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	CASETA GRUPO PRESIÓN	LIMPIEZA	04_MENSUAL	PP	CASETA	OK
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	CASETA GRUPO PRESIÓN	CALDERÍN (PRESIÓN)	05_TRIMESTRAL	PP	CASETA	OK
CHG.E58 - ILU	CHG.E58	CHG.E58 - ILU	 ILU	ILUMINACIÓN CASETA	VISUAL	02_SEMANAL	PP	ILU	OK
CHG.E58 - OCV	CHG.E58	CHG.E58 - OCV	 OCV	CASETA CONTROL	LIMPIEZA	05_TRIMESTRAL	PP	CASETA	OK
CHG.E58 - MAX	CHG.E58	CHG.E58 - MAX	 MAX	MEDIOS AUXILIARES	REVISIÓN	07_ANUAL	PP	BATERIAS	OK
